model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
repulsion,bf_00',6.954057092,0.040267237,6.888707761,7.018413888,500000,0.39825,6.95E-04,14,2803
non-monotonic_attraction,bf_0u,6.955156233,0.052890177,6.870023012,7.044600358,500000,0.260874,6.30E-04,14,1071
non-monotonic_repulsion,bf_00',6.955855012,0.056009759,6.866473761,7.050066183,500000,0.216428,5.81E-04,2,963
attraction,bf_u0,6.955952761,0.095682969,6.796757555,7.114196359,500000,0.012532,1.58E-04,2,2052
attraction,bf_0u,6.957332658,0.032741527,6.903377323,7.011744405,500000,0.6043,6.75E-04,14,751
non-monotonic_repulsion,bf_00',6.957814688,0.056381927,6.864489746,7.050848409,500000,0.21507,5.81E-04,9,3822
attraction,bf_00',6.958284394,0.040447675,6.892429941,7.024375419,500000,0.400348,6.99E-04,2,653
attraction,bf_0u,6.961720727,0.032400272,6.908946392,7.014835503,500000,0.605252,6.86E-04,9,152
attraction,bf_0u,6.966513899,0.032499628,6.911479196,7.019130312,500000,0.604986,6.86E-04,2,363
attraction,bf_0u,6.9667504,0.033064252,6.910189102,7.020957455,500000,0.610148,6.79E-04,9,1482
attraction,bf_00',6.973161284,0.040881518,6.905785773,7.041715656,500000,0.4,6.86E-04,2,653
non-monotonic_repulsion,bf_0u,6.97426318,0.051943957,6.889850658,7.06009728,500000,0.268816,6.30E-04,2,2393
non-monotonic_attraction,bf_0u,6.975296912,0.053002081,6.889201997,7.063793438,500000,0.264294,6.16E-04,9,2081
similarity,bf_0u,6.975609756,1.225670349,5.362728006,9.269622065,500000,5.72E-04,3.41E-05,2,2566
attraction,bf_u0,6.976419634,0.093702521,6.829135567,7.13693255,500000,0.012468,1.57E-04,2,2052
attraction,bf_00',6.976990332,0.0408177,6.909297014,7.043595305,500000,0.399438,6.95E-04,5,3972
similarity,bf_00',6.979029761,1.226445289,5.364997669,9.273859166,500000,5.72E-04,3.41E-05,2,2566
non-monotonic_repulsion,bf_0u,6.98575983,0.051409783,6.902424759,7.070002354,500000,0.262944,6.32E-04,9,2276
non-monotonic_repulsion,bf_0u,6.988459319,0.053272248,6.901109565,7.076004151,500000,0.266442,6.23E-04,14,2423
attraction,bf_0u,6.989645851,0.032729868,6.935306832,7.041939125,500000,0.610252,6.91E-04,9,3862
non-monotonic_attraction,bf_0u,6.990290232,0.052678772,6.903941611,7.078483738,500000,0.263492,6.19E-04,14,1983
non-monotonic_attraction,bf_00',6.990433772,0.058376793,6.89830487,7.087859387,500000,0.215238,5.86E-04,14,2001
non-monotonic_attraction,bf_u0,6.991791045,0.143715707,6.76506538,7.237313591,500000,0.00536,1.04E-04,9,412
repulsion,bf_00',6.993271794,0.040891577,6.927800355,7.061158056,500000,0.400106,6.94E-04,5,1183
attraction,bf_0u,6.996463023,0.033101734,6.941181239,7.050018288,500000,0.609252,6.90E-04,9,2566
attraction,bf_0u,6.998491911,0.033063084,6.943661906,7.052210971,500000,0.612564,6.97E-04,9,2076
similarity,bf_u0,7,4.19981274,3.381801251,15.96288808,500000,1.00E-05,4.62E-06,5,2276
similarity,bf_u0,7,4.501567779,3.372984282,15.98746185,500000,1.00E-05,4.81E-06,14,2803
attraction,bf_00',7.003181343,0.04030038,6.935688904,7.071198583,500000,0.40114,6.83E-04,14,3956
non-monotonic_repulsion,bf_00',7.003545001,0.057019785,6.910604357,7.097620765,500000,0.215992,5.87E-04,5,3046
attraction,bf_00',7.005468207,0.04061168,6.939367136,7.074558483,500000,0.401134,6.88E-04,9,1403
non-monotonic_attraction,bf_0u,7.008285972,0.051796754,6.924081738,7.094568976,500000,0.26389,6.34E-04,14,813
non-monotonic_repulsion,bf_u0,7.014771049,0.143362639,6.777916238,7.252181851,500000,0.005416,1.05E-04,2,1872
attraction,bf_0u,7.016123853,0.033164686,6.961352472,7.071595566,500000,0.611806,6.86E-04,14,722
attraction,bf_00',7.016209791,0.041030427,6.949549592,7.083013484,500000,0.402382,6.88E-04,14,2872
attraction,bf_0u,7.019083183,0.032750639,6.966356644,7.074006182,500000,0.61278,6.82E-04,14,596
attraction,bf_00',7.021970738,0.040570401,6.954559162,7.087719997,500000,0.402224,6.92E-04,14,2701
attraction,bf_0u,7.02441706,0.033373133,6.970116791,7.078615778,500000,0.613344,6.85E-04,9,3113
non-monotonic_attraction,bf_0u,7.025984825,0.052074574,6.941712447,7.110961118,500000,0.270388,6.28E-04,14,163
non-monotonic_repulsion,bf_0u,7.026695451,0.052780918,6.939640568,7.114870917,500000,0.266902,6.24E-04,5,1246
non-monotonic_repulsion,bf_0u,7.027911196,0.05338307,6.94084877,7.118363759,500000,0.263378,6.34E-04,9,93
non-monotonic_repulsion,bf_0u,7.0320533,0.0531509,6.947365742,7.121304724,500000,0.26809,6.26E-04,5,1262
non-monotonic_repulsion,bf_0u,7.032762629,0.053584018,6.944462559,7.119721642,500000,0.266176,6.29E-04,9,1751
attraction,bf_0u,7.040561301,0.033084918,6.987329382,7.095977131,500000,0.61412,6.93E-04,5,1733
attraction,bf_00',7.050479919,0.040648801,6.983056861,7.116715629,500000,0.402746,6.87E-04,14,1803
non-monotonic_attraction,bf_u0,7.050520059,0.139467451,6.823617778,7.278719106,500000,0.005384,1.03E-04,2,1781
non-monotonic_attraction,bf_0u,7.054407022,0.053844228,6.967159436,7.146395279,500000,0.26684,6.23E-04,9,1551
non-monotonic_repulsion,bf_0u,7.05681044,0.052482962,6.971674918,7.142433361,500000,0.269302,6.20E-04,5,3493
non-monotonic_repulsion,bf_0u,7.059472651,0.052960915,6.973118211,7.147156811,500000,0.266128,6.24E-04,14,1936
non-monotonic_attraction,bf_u0,7.06163616,0.145961946,6.825766165,7.30534711,500000,0.005354,1.03E-04,5,2886
repulsion,bf_00',7.067620557,0.040867322,6.999802921,7.133258153,500000,0.403022,6.89E-04,14,3732
repulsion,bf_u0,7.069433231,0.094300619,6.92128725,7.230342447,500000,0.012386,1.56E-04,9,233
repulsion,bf_0u,7.072974149,0.033163994,7.018121038,7.128045268,500000,0.617796,6.83E-04,2,66
non-monotonic_repulsion,bf_00',7.074391767,0.0568258,6.97989881,7.170250034,500000,0.218122,5.91E-04,2,3743
attraction,bf_0u,7.074521117,0.033146783,7.02016424,7.129721984,500000,0.613078,6.90E-04,5,2281
similarity,bf_0u,7.075,1.245610477,5.383782218,9.425289364,500000,5.66E-04,3.43E-05,5,491
repulsion,bf_u0,7.077894737,0.09504782,6.921814635,7.238267792,500000,0.01235,1.56E-04,5,2081
similarity,bf_00',7.078440397,1.24639013,5.386084897,9.430245268,500000,5.66E-04,3.43E-05,5,491
attraction,bf_0u,7.08428246,0.033352868,7.030132691,7.14107872,500000,0.622,6.89E-04,9,3396
attraction,bf_00',7.085030499,0.040222449,7.020288472,7.154130654,500000,0.404146,7.04E-04,5,123
attraction,bf_00',7.08982904,0.041911131,7.021682563,7.159045405,500000,0.404786,6.83E-04,2,1441
attraction,bf_00',7.091113816,0.041509397,7.023255186,7.158819459,500000,0.4016,6.99E-04,14,3091
non-monotonic_repulsion,bf_0u,7.094086728,0.052846491,7.006660348,7.180348253,500000,0.26993,6.33E-04,9,31
attraction,bf_0u,7.094717668,0.034139482,7.041234815,7.154685109,500000,0.6232,6.85E-04,9,1551
attraction,bf_00',7.097526684,0.041140168,7.029219913,7.162350814,500000,0.40451,7.07E-04,2,1441
non-monotonic_repulsion,bf_00',7.097986254,0.058838875,7.00309643,7.198426776,500000,0.219934,5.79E-04,5,42
attraction,bf_00',7.098447059,0.041053416,7.0306858,7.166541704,500000,0.402736,6.88E-04,5,3183
non-monotonic_repulsion,bf_0u,7.099045035,0.052482714,7.012423293,7.184991768,500000,0.272078,6.33E-04,2,66
attraction,bf_0u,7.099136243,0.033672475,7.043073214,7.154117382,500000,0.616418,6.82E-04,14,341
repulsion,bf_00',7.102450105,0.040423376,7.035595241,7.167427525,500000,0.405896,6.91E-04,2,2376
attraction,bf_00',7.10884769,0.041101336,7.040412098,7.176514653,500000,0.404404,6.91E-04,5,1381
non-monotonic_repulsion,bf_u0,7.109118087,0.146080372,6.874038405,7.351302994,500000,0.005352,1.04E-04,9,2466
repulsion,bf_u0,7.110209382,0.094915301,6.95501392,7.26723061,500000,0.012322,1.53E-04,9,2653
non-monotonic_repulsion,bf_0u,7.11242324,0.053199641,7.026261712,7.199056699,500000,0.271026,6.22E-04,2,22
repulsion,bf_00',7.112788153,0.041359176,7.044407939,7.17933925,500000,0.405378,7.02E-04,9,3683
repulsion,bf_00',7.113085194,0.040889066,7.047481952,7.180980708,500000,0.404378,6.96E-04,14,623
non-monotonic_attraction,bf_0u,7.11490569,0.053859872,7.028501969,7.207140673,500000,0.270836,6.34E-04,14,3766
non-monotonic_repulsion,bf_00',7.1155043,0.058229364,7.019772105,7.211804285,500000,0.21807,5.86E-04,5,1351
attraction,bf_0u,7.119071576,0.033434074,7.064974975,7.174900941,500000,0.622634,6.83E-04,9,102
attraction,bf_0u,7.1206672,0.034372997,7.064895513,7.178497047,500000,0.623272,6.85E-04,2,292
non-monotonic_attraction,bf_00',7.120771473,0.058546839,7.025670447,7.214860975,500000,0.218262,5.87E-04,14,2992
similarity,bf_0u,7.12195122,1.204506584,5.363196085,9.338623032,500000,5.84E-04,3.38E-05,2,3073
non-monotonic_repulsion,bf_0u,7.122525077,0.052683309,7.038328703,7.211696413,500000,0.27124,6.23E-04,14,1643
non-monotonic_attraction,bf_u0,7.122708567,0.145651789,6.881712274,7.360262919,500000,0.005346,1.02E-04,9,2381
repulsion,bf_0u,7.123506526,0.033983659,7.06601248,7.177575604,500000,0.618876,6.91E-04,14,862
similarity,bf_00',7.125528528,1.205289818,5.36573924,9.343928138,500000,5.84E-04,3.38E-05,2,3073
attraction,bf_0u,7.126680691,0.03365439,7.07141824,7.1834379,500000,0.623328,6.86E-04,14,1011
repulsion,bf_00',7.127486709,0.042046691,7.059158953,7.19711303,500000,0.40418,6.82E-04,14,916
repulsion,bf_u0,7.127561895,0.095917843,6.973877995,7.285109051,500000,0.012198,1.55E-04,9,1821
non-monotonic_attraction,bf_u0,7.131941856,0.145643941,6.890511174,7.367130811,500000,0.005366,1.02E-04,5,2821
non-monotonic_attraction,bf_u0,7.134294385,0.147728574,6.898913621,7.379358155,500000,0.005272,1.02E-04,5,2911
attraction,bf_0u,7.134688546,0.033978621,7.080763638,7.192171465,500000,0.62263,6.73E-04,9,1901
non-monotonic_repulsion,bf_0u,7.134691508,0.052566435,7.04784887,7.221006789,500000,0.270362,6.26E-04,14,2263
attraction,bf_0u,7.135353535,0.033571476,7.081241332,7.190730124,500000,0.621632,6.85E-04,5,3913
non-monotonic_attraction,bf_0u,7.136329787,0.054557606,7.047829621,7.228133412,500000,0.268326,6.22E-04,14,1381
attraction,bf_0u,7.136424054,0.033558086,7.082939516,7.193372676,500000,0.62281,6.83E-04,14,53
non-monotonic_attraction,bf_0u,7.137729638,0.053951638,7.048854567,7.225483612,500000,0.268864,6.34E-04,5,2653
attraction,bf_0u,7.139057471,0.033983739,7.082895782,7.195177192,500000,0.621098,6.81E-04,9,341
attraction,bf_0u,7.141461957,0.032563778,7.088747913,7.196726719,500000,0.62155,6.89E-04,14,2736
non-monotonic_repulsion,bf_00',7.142050985,0.058259749,7.045346524,7.236477592,500000,0.219148,5.76E-04,14,2692
non-monotonic_repulsion,bf_0u,7.146729708,0.052193037,7.061857419,7.233094365,500000,0.272076,6.27E-04,9,2781
attraction,bf_0u,7.149858363,0.033118499,7.096979778,7.20571983,500000,0.620908,6.90E-04,14,82
attraction,bf_0u,7.15211616,0.033713555,7.099234946,7.209195902,500000,0.62458,6.96E-04,2,2092
non-monotonic_repulsion,bf_00',7.156436057,0.05812515,7.060478087,7.252358465,500000,0.219436,5.81E-04,14,292
attraction,bf_0u,7.162699229,0.034338128,7.107988879,7.220296107,500000,0.626464,6.89E-04,2,2092
attraction,bf_0u,7.16352042,0.033975817,7.108276974,7.218099468,500000,0.622338,6.86E-04,14,1551
attraction,bf_00',7.164295171,0.042256898,7.092707179,7.233641428,500000,0.405336,7.06E-04,5,53
attraction,bf_0u,7.166255313,0.034097768,7.111721066,7.222218928,500000,0.627162,6.80E-04,9,572
repulsion,bf_00',7.167947506,0.042665162,7.097810311,7.237859418,500000,0.40524,6.96E-04,5,301
repulsion,bf_00',7.169212726,0.041689299,7.099329364,7.236852043,500000,0.406612,7.06E-04,14,3913
non-monotonic_repulsion,bf_0u,7.170548736,0.054199741,7.086160936,7.261389702,500000,0.27337,6.20E-04,14,3956
repulsion,bf_00',7.172387026,0.041405245,7.103544807,7.241146539,500000,0.406088,7.01E-04,9,2116
repulsion,bf_u0,7.172880238,0.095857681,7.016030991,7.331063075,500000,0.012124,1.54E-04,9,1392
attraction,bf_0u,7.173786744,0.033886534,7.117996914,7.229726158,500000,0.622326,6.90E-04,14,2081
attraction,bf_00',7.174637411,0.040760591,7.110310343,7.242763563,500000,0.406946,6.91E-04,2,3626
non-monotonic_attraction,bf_00',7.176156788,0.056761524,7.083052812,7.27054894,500000,0.219228,5.85E-04,14,2532
non-monotonic_attraction,bf_0u,7.17696493,0.0537591,7.089415162,7.266282704,500000,0.266452,6.29E-04,2,1531
attraction,bf_00',7.177116748,0.040661469,7.111239953,7.245294778,500000,0.408366,6.90E-04,5,746
repulsion,bf_0u,7.181138106,0.034503104,7.124304476,7.236965553,500000,0.62012,6.81E-04,2,93
attraction,bf_00',7.183733494,0.04104101,7.115823109,7.250349287,500000,0.407942,6.90E-04,2,3626
attraction,bf_0u,7.185352601,0.033920035,7.131416416,7.243042086,500000,0.62948,6.61E-04,2,1706
attraction,bf_00',7.185636772,0.04156723,7.116938833,7.253599164,500000,0.40855,6.95E-04,14,1143
non-monotonic_repulsion,bf_00',7.187008074,0.058717027,7.089601189,7.28541132,500000,0.220252,5.85E-04,5,3591
non-monotonic_repulsion,bf_0u,7.190149691,0.053779322,7.102414995,7.279718659,500000,0.27475,6.29E-04,9,992
non-monotonic_attraction,bf_u0,7.195241692,0.145297006,6.962716753,7.444345808,500000,0.005296,1.03E-04,2,1706
repulsion,bf_0u,7.195755798,0.033901588,7.140934859,7.251649356,500000,0.627988,6.84E-04,14,423
attraction,bf_0u,7.195773744,0.033619085,7.139994208,7.250881193,500000,0.627932,6.86E-04,5,2236
similarity,bf_u0,7.2,4.513561406,3.407202046,16.64779375,500000,1.00E-05,4.75E-06,2,2471
similarity,bf_u0,7.2,4.818678249,3.375220649,16.7967726,500000,1.00E-05,4.62E-06,5,191
similarity,bf_u0,7.2,4.398069306,3.401630882,16.06090692,500000,1.00E-05,4.70E-06,5,292
similarity,bf_u0,7.2,4.895990559,3.50281394,16.51585651,500000,1.00E-05,4.64E-06,5,1286
non-monotonic_attraction,bf_u0,7.201362604,0.145041348,6.966403848,7.444584687,500000,0.005284,1.02E-04,2,992
non-monotonic_attraction,bf_u0,7.206150342,0.144927554,6.977228999,7.454406822,500000,0.005268,1.03E-04,9,722
non-monotonic_repulsion,bf_0u,7.213010816,0.054859069,7.125947103,7.304163745,500000,0.270762,6.35E-04,14,2693
repulsion,bf_0u,7.214170656,0.033237075,7.157963424,7.268923534,500000,0.635958,6.76E-04,5,3996
non-monotonic_attraction,bf_0u,7.216164818,0.053986598,7.127059652,7.304207764,500000,0.273204,6.42E-04,14,2453
attraction,bf_0u,7.217052129,0.033509257,7.160891075,7.272523307,500000,0.629096,6.81E-04,2,1706
non-monotonic_attraction,bf_0u,7.21761549,0.053661139,7.131478952,7.305310667,500000,0.274356,6.45E-04,14,2672
non-monotonic_repulsion,bf_0u,7.220435547,0.054439604,7.130912955,7.313014481,500000,0.271214,6.24E-04,9,1452
non-monotonic_repulsion,bf_00',7.222144722,0.058758232,7.126663536,7.320003855,500000,0.22128,5.90E-04,2,1512
attraction,bf_00',7.222801903,0.041575898,7.156005977,7.293552526,500000,0.409912,6.98E-04,2,2251
non-monotonic_attraction,bf_00',7.225007005,0.058787955,7.130015301,7.323899999,500000,0.222728,5.93E-04,14,1143
non-monotonic_repulsion,bf_00',7.230314248,0.057864551,7.133841296,7.325439261,500000,0.220138,5.87E-04,9,1313
similarity,bf_0u,7.230769231,1.283020904,5.502509555,9.614729388,500000,5.64E-04,3.31E-05,2,3846
non-monotonic_repulsion,bf_0u,7.232173959,0.053844147,7.145243189,7.323047932,500000,0.274056,6.31E-04,5,2393
similarity,bf_00',7.234285368,1.283832358,5.504924743,9.619880791,500000,5.64E-04,3.31E-05,2,3846
attraction,bf_00',7.236837484,0.041542787,7.168750694,7.305003041,500000,0.40951,6.95E-04,2,3996
repulsion,bf_00',7.239086012,0.040773963,7.169774601,7.304203174,500000,0.407464,7.02E-04,9,813
non-monotonic_attraction,bf_0u,7.240419781,0.05407023,7.153131973,7.331824286,500000,0.27321,6.24E-04,14,2306
similarity,bf_0u,7.243902439,1.265399385,5.498901893,9.595429381,500000,5.94E-04,3.52E-05,9,1093
similarity,bf_00',7.247613521,1.266233633,5.501509489,9.600255879,500000,5.94E-04,3.52E-05,9,1093
attraction,bf_00',7.247798959,0.041514108,7.17959941,7.315509569,500000,0.409324,6.92E-04,9,1803
attraction,bf_00',7.251618103,0.042129336,7.182400712,7.318555285,500000,0.409336,7.04E-04,5,2052
non-monotonic_repulsion,bf_0u,7.254558018,0.055683545,7.164032088,7.348651885,500000,0.27296,6.40E-04,2,612
similarity,bf_0u,7.257142857,1.340508078,5.456347763,9.800247803,500000,5.08E-04,3.18E-05,5,2052
similarity,bf_00',7.260323101,1.341259398,5.458542632,9.804751563,500000,5.08E-04,3.18E-05,5,2052
attraction,bf_00',7.266321145,0.042715693,7.197197362,7.337766793,500000,0.40773,6.94E-04,14,2723
attraction,bf_00',7.270076181,0.041308744,7.203156981,7.338958254,500000,0.412482,7.02E-04,2,2532
attraction,bf_0u,7.271226684,0.033903855,7.213989803,7.325803204,500000,0.636974,6.73E-04,14,992
repulsion,bf_0u,7.271912988,0.034599412,7.216528837,7.332009371,500000,0.636496,6.72E-04,5,886
non-monotonic_attraction,bf_u0,7.273073989,0.151708963,7.020890728,7.527962687,500000,0.005244,1.03E-04,5,352
attraction,bf_0u,7.275056169,0.034745106,7.217809817,7.331980597,500000,0.628172,6.80E-04,5,711
attraction,bf_0u,7.27522223,0.034283141,7.218971524,7.332799111,500000,0.636742,6.78E-04,9,1613
attraction,bf_00',7.281214433,0.042994657,7.21035794,7.353105496,500000,0.408762,6.91E-04,2,2251
similarity,bf_0u,7.282051282,1.289433218,5.578373358,9.718906915,500000,5.68E-04,3.38E-05,5,2723
non-monotonic_attraction,bf_u0,7.284400153,0.152732918,7.040929892,7.535679885,500000,0.005218,1.00E-04,2,3401
attraction,bf_0u,7.285459493,0.034365874,7.229586104,7.342396922,500000,0.63723,6.90E-04,9,1762
similarity,bf_00',7.285621515,1.290249653,5.580801338,9.72368223,500000,5.68E-04,3.38E-05,5,2723
attraction,bf_00',7.29296561,0.041905533,7.224302014,7.362318356,500000,0.409402,6.89E-04,5,1441
attraction,bf_0u,7.295977929,0.034526224,7.240593872,7.354046127,500000,0.639974,6.76E-04,9,292
non-monotonic_attraction,bf_u0,7.300038417,0.152247754,7.062901199,7.561121513,500000,0.005206,1.02E-04,14,1912
attraction,bf_00',7.305875496,0.041810637,7.237088926,7.374485942,500000,0.410744,6.90E-04,5,163
repulsion,bf_u0,7.312016156,0.101965347,7.146308532,7.481666941,500000,0.011884,1.54E-04,14,1872
attraction,bf_00',7.312848051,0.043544628,7.242610187,7.385427375,500000,0.411638,7.06E-04,2,273
repulsion,bf_0u,7.315482961,0.034294392,7.26075433,7.37284827,500000,0.643148,6.83E-04,14,3773
attraction,bf_0u,7.319296802,0.034759905,7.263637346,7.376747391,500000,0.640336,6.80E-04,5,1422
repulsion,bf_00',7.319716822,0.04190842,7.249619264,7.388035978,500000,0.410196,6.98E-04,14,2363
attraction,bf_00',7.319830833,0.041902135,7.252104291,7.388217066,500000,0.410816,6.94E-04,14,572
attraction,bf_00',7.3203455,0.042558109,7.248598915,7.387235723,500000,0.409948,7.06E-04,14,3523
non-monotonic_repulsion,bf_0u,7.322107638,0.055017418,7.229616481,7.409384001,500000,0.272646,6.33E-04,5,3712
non-monotonic_repulsion,bf_00',7.323124838,0.060480508,7.21926844,7.422300628,500000,0.222928,5.93E-04,14,1183
attraction,bf_0u,7.325280394,0.034543259,7.268969253,7.3827223,500000,0.636142,6.86E-04,14,1251
non-monotonic_repulsion,bf_0u,7.325646735,0.053868246,7.237685043,7.412634619,500000,0.276382,6.31E-04,14,3846
non-monotonic_attraction,bf_00',7.331911526,0.059832578,7.233052842,7.430880539,500000,0.223346,5.93E-04,9,1422
attraction,bf_00',7.333174631,0.042573107,7.263036356,7.401691236,500000,0.410842,7.10E-04,2,3996
attraction,bf_0u,7.333808615,0.034575505,7.278104793,7.39232396,500000,0.637792,6.91E-04,9,1952
non-monotonic_repulsion,bf_0u,7.334683436,0.054494735,7.245164947,7.427121024,500000,0.275256,6.28E-04,2,3653
repulsion,bf_0u,7.33763337,0.034892774,7.282378553,7.395041435,500000,0.638198,6.79E-04,5,3851
attraction,bf_0u,7.340024289,0.034396746,7.284794954,7.397370397,500000,0.640652,6.76E-04,9,1251
repulsion,bf_u0,7.340611354,0.102376568,7.172906325,7.508038811,500000,0.011908,1.53E-04,9,2453
attraction,bf_0u,7.341288508,0.033983065,7.284277969,7.395595801,500000,0.636754,6.81E-04,14,2672
non-monotonic_repulsion,bf_00',7.346856995,0.060246128,7.247879108,7.447028303,500000,0.221014,5.92E-04,14,2103
repulsion,bf_0u,7.348935003,0.03458159,7.292593054,7.406671067,500000,0.64312,6.83E-04,14,2121
attraction,bf_0u,7.349431228,0.034439152,7.293447747,7.406258694,500000,0.637034,6.88E-04,14,2466
non-monotonic_repulsion,bf_0u,7.350279506,0.053759595,7.262833309,7.438429868,500000,0.278752,6.40E-04,2,2803
non-monotonic_attraction,bf_0u,7.351085019,0.054558457,7.261671664,7.441118954,500000,0.280488,6.30E-04,14,2763
attraction,bf_0u,7.352693872,0.034291285,7.297511454,7.410854816,500000,0.643596,6.78E-04,14,1196
attraction,bf_0u,7.353670863,0.03446513,7.297877183,7.411190053,500000,0.64024,6.76E-04,9,3886
non-monotonic_repulsion,bf_0u,7.353988307,0.054501518,7.263287337,7.440835352,500000,0.281746,6.30E-04,9,923
attraction,bf_00',7.356894228,0.04288634,7.286725912,7.426180429,500000,0.412344,6.84E-04,5,2423
non-monotonic_repulsion,bf_00',7.357892293,0.060163011,7.256881229,7.458228043,500000,0.224142,5.94E-04,2,2346
repulsion,bf_0u,7.360035921,0.03431211,7.304385481,7.418262411,500000,0.639278,6.80E-04,2,1101
attraction,bf_00',7.364947968,0.042331707,7.295140008,7.433062479,500000,0.413188,6.98E-04,9,3073
attraction,bf_00',7.366870771,0.042250289,7.297325061,7.43550977,500000,0.412404,6.91E-04,5,3236
attraction,bf_00',7.370093839,0.043127532,7.29906299,7.440986334,500000,0.411318,7.05E-04,5,826
attraction,bf_00',7.372243785,0.043040841,7.302391691,7.443183186,500000,0.413422,6.96E-04,2,2156
non-monotonic_repulsion,bf_0u,7.37385125,0.055481951,7.284022383,7.465464041,500000,0.276018,6.27E-04,2,292
attraction,bf_0u,7.374571317,0.034391553,7.316031996,7.430120022,500000,0.640806,6.80E-04,2,336
attraction,bf_00',7.375856399,0.042517901,7.305478896,7.44441476,500000,0.411544,6.97E-04,14,2553
repulsion,bf_00',7.37954181,0.042841542,7.309251883,7.449987054,500000,0.413028,7.07E-04,2,963
non-monotonic_repulsion,bf_0u,7.380598196,0.054699568,7.290609672,7.471746199,500000,0.279828,6.36E-04,9,3803
repulsion,bf_00',7.380804319,0.042191928,7.313989439,7.451737128,500000,0.41374,7.05E-04,2,3873
attraction,bf_00',7.382067831,0.041866018,7.313437072,7.451452155,500000,0.414092,6.97E-04,5,983
attraction,bf_0u,7.38271347,0.034141617,7.326707419,7.438994997,500000,0.636006,6.78E-04,14,1262
non-monotonic_repulsion,bf_0u,7.384619453,0.055018635,7.297844759,7.476124116,500000,0.279242,6.43E-04,5,1201
attraction,bf_00',7.386237297,0.042809415,7.315738713,7.456352516,500000,0.413376,6.91E-04,2,2156
non-monotonic_repulsion,bf_0u,7.387564821,0.054681981,7.299550351,7.477887721,500000,0.282072,6.41E-04,2,282
repulsion,bf_0u,7.388641806,0.034210957,7.3318938,7.443814529,500000,0.64791,6.76E-04,5,3653
attraction,bf_00',7.396038311,0.042779796,7.328066035,7.466968,500000,0.412114,6.88E-04,5,1586
non-monotonic_repulsion,bf_00',7.39695671,0.06085186,7.298549957,7.49684653,500000,0.223276,5.89E-04,9,1656
non-monotonic_attraction,bf_u0,7.402653141,0.157333507,7.153636297,7.669218294,500000,0.005126,1.01E-04,14,556
attraction,bf_00',7.40562376,0.042344933,7.336108908,7.475540943,500000,0.413346,6.91E-04,5,1832
attraction,bf_00',7.40989521,0.04363209,7.338161993,7.480808204,500000,0.41733,7.07E-04,9,813
similarity,bf_0u,7.411764706,1.41949954,5.529371869,10.14377183,500000,5.04E-04,3.20E-05,2,436
attraction,bf_00',7.413340918,0.043489746,7.343326184,7.485135067,500000,0.41112,6.99E-04,9,1172
similarity,bf_00',7.414997865,1.420288389,5.531464559,10.14864999,500000,5.04E-04,3.20E-05,2,436
non-monotonic_repulsion,bf_00',7.417042225,0.060611121,7.31875765,7.519375116,500000,0.225672,5.88E-04,14,2223
attraction,bf_00',7.419568371,0.042734488,7.349936312,7.490199361,500000,0.415328,6.91E-04,9,3961
attraction,bf_00',7.420763221,0.043203514,7.350890246,7.494055459,500000,0.413566,6.94E-04,2,2532
non-monotonic_repulsion,bf_0u,7.422550716,0.05551594,7.333235862,7.514389662,500000,0.2832,6.35E-04,2,791
repulsion,bf_u0,7.424842177,0.101400522,7.256670808,7.587316183,500000,0.011722,1.52E-04,9,472
non-monotonic_repulsion,bf_0u,7.425375871,0.05576574,7.330135936,7.512282062,500000,0.283486,6.29E-04,9,751
non-monotonic_attraction,bf_0u,7.425450142,0.054939287,7.337554144,7.519154402,500000,0.282078,6.31E-04,14,1196
non-monotonic_repulsion,bf_0u,7.425754247,0.056675799,7.330800093,7.51582456,500000,0.277144,6.26E-04,14,2911
non-monotonic_repulsion,bf_u0,7.431827112,0.158604037,7.178320599,7.697537952,500000,0.00509,1.01E-04,5,212
non-monotonic_repulsion,bf_0u,7.432975589,0.055822142,7.340779216,7.528264345,500000,0.282572,6.43E-04,2,2471
attraction,bf_u0,7.43831887,0.10052819,7.277118754,7.601420609,500000,0.011754,1.53E-04,5,3811
non-monotonic_repulsion,bf_u0,7.439411998,0.158881836,7.180455422,7.709213891,500000,0.005034,1.01E-04,2,3003
repulsion,bf_u0,7.439843883,0.101233827,7.274677726,7.60471738,500000,0.011786,1.54E-04,2,1112
similarity,bf_0u,7.441176471,1.432508454,5.522281728,10.13468644,500000,5.06E-04,3.21E-05,14,1803
repulsion,bf_0u,7.441851411,0.034873853,7.38437008,7.500935823,500000,0.649882,6.81E-04,5,2902
attraction,bf_00',7.442436787,0.043732627,7.369715591,7.513382601,500000,0.414922,6.88E-04,5,3252
similarity,bf_00',7.444437356,1.433317477,5.524503105,10.13959856,500000,5.06E-04,3.21E-05,14,1803
attraction,bf_00',7.447078955,0.043344023,7.375978259,7.518988196,500000,0.416842,6.94E-04,5,2701
attraction,bf_0u,7.448915635,0.035124823,7.391596157,7.507443918,500000,0.656026,6.61E-04,14,1326
non-monotonic_attraction,bf_u0,7.449745796,0.15574598,7.206366935,7.710158377,500000,0.005114,9.93E-05,5,2393
non-monotonic_attraction,bf_u0,7.45543777,0.162006071,7.189902547,7.727493935,500000,0.005094,1.01E-04,2,1392
