model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
similarity,bf_00',2.33E-04,3.08E-04,3.90E-05,9.71E-04,50000000,2.00E-08,2.42E-08,14,2406
similarity,bf_0u,2.33E-04,3.08E-04,3.90E-05,9.71E-04,50000000,2.00E-08,2.42E-08,14,2406
similarity,bf_00',2.38E-04,2.96E-04,4.25E-05,9.63E-04,60000000,1.67E-08,2.08E-08,9,916
similarity,bf_0u,2.38E-04,2.96E-04,4.25E-05,9.63E-04,60000000,1.67E-08,2.08E-08,9,916
similarity,bf_00',2.45E-04,3.14E-04,4.43E-05,9.85E-04,60000000,1.67E-08,2.02E-08,5,3996
similarity,bf_00',2.45E-04,3.17E-04,4.13E-05,9.79E-04,60000000,1.67E-08,2.06E-08,14,623
similarity,bf_00',2.45E-04,3.21E-04,4.37E-05,0.001028275,60000000,1.67E-08,2.06E-08,14,1693
similarity,bf_0u,2.45E-04,3.14E-04,4.43E-05,9.85E-04,60000000,1.67E-08,2.02E-08,5,3996
similarity,bf_0u,2.45E-04,3.17E-04,4.13E-05,9.79E-04,60000000,1.67E-08,2.06E-08,14,623
similarity,bf_0u,2.45E-04,3.21E-04,4.37E-05,0.001028335,60000000,1.67E-08,2.06E-08,14,1693
similarity,bf_00',2.46E-04,3.32E-04,3.73E-05,0.001023708,70000000,1.43E-08,1.76E-08,9,1066
similarity,bf_0u,2.46E-04,3.32E-04,3.73E-05,0.001023781,70000000,1.43E-08,1.76E-08,9,1066
non-monotonic_attraction,bf_00',2.52E-04,1.19E-04,1.15E-04,4.97E-04,500000,1.00E-05,4.78E-06,9,902
repulsion,bf_00',0.000252071,7.33E-05,1.53E-04,3.93E-04,500000,2.40E-05,6.88E-06,2,583
similarity,bf_00',2.53E-04,3.19E-04,4.32E-05,9.97E-04,60000000,1.67E-08,2.02E-08,14,2063
similarity,bf_0u,2.53E-04,3.19E-04,4.32E-05,9.98E-04,60000000,1.67E-08,2.02E-08,14,2063
non-monotonic_attraction,bf_00',2.54E-04,1.19E-04,1.17E-04,5.03E-04,500000,1.00E-05,4.66E-06,5,1562
non-monotonic_attraction,bf_00',2.55E-04,1.20E-04,1.16E-04,5.03E-04,500000,1.00E-05,4.58E-06,2,1066
similarity,bf_00',2.55E-04,3.30E-04,4.36E-05,0.001037796,70000000,1.43E-08,1.78E-08,14,1123
similarity,bf_0u,2.55E-04,3.30E-04,4.36E-05,0.001037861,70000000,1.43E-08,1.78E-08,14,1123
similarity,bf_00',2.56E-04,3.31E-04,4.43E-05,0.001075174,50000000,2.00E-08,2.46E-08,14,371
similarity,bf_0u,2.56E-04,3.31E-04,4.43E-05,0.001075257,50000000,2.00E-08,2.46E-08,14,371
non-monotonic_attraction,bf_0u,2.62E-04,1.24E-04,1.20E-04,5.17E-04,500000,1.00E-05,4.78E-06,9,902
non-monotonic_attraction,bf_0u,2.64E-04,1.24E-04,1.21E-04,5.23E-04,500000,1.00E-05,4.66E-06,5,1562
non-monotonic_attraction,bf_0u,2.65E-04,1.24E-04,1.21E-04,5.23E-04,500000,1.00E-05,4.58E-06,2,1066
similarity,bf_00',2.70E-04,3.67E-04,5.18E-05,0.001118841,50000000,2.00E-08,2.43E-08,14,3302
similarity,bf_0u,2.70E-04,3.67E-04,5.18E-05,0.001118908,50000000,2.00E-08,2.43E-08,14,3302
repulsion,bf_0u,2.76E-04,8.03E-05,1.68E-04,4.31E-04,500000,2.40E-05,6.88E-06,2,583
similarity,bf_00',2.86E-04,3.77E-04,5.10E-05,0.001156545,50000000,2.00E-08,2.44E-08,9,2736
similarity,bf_00',2.86E-04,3.79E-04,4.35E-05,0.001159049,70000000,1.43E-08,1.79E-08,9,3073
similarity,bf_0u,2.86E-04,3.77E-04,5.10E-05,0.001156635,50000000,2.00E-08,2.44E-08,9,2736
similarity,bf_0u,2.86E-04,3.79E-04,4.35E-05,0.001159107,70000000,1.43E-08,1.79E-08,9,3073
similarity,bf_00',2.87E-04,3.75E-04,4.87E-05,0.001193066,60000000,1.67E-08,2.12E-08,14,2763
similarity,bf_0u,2.87E-04,3.75E-04,4.87E-05,0.001193128,60000000,1.67E-08,2.12E-08,14,2763
similarity,bf_00',2.94E-04,3.93E-04,5.28E-05,0.001245308,50000000,2.00E-08,2.40E-08,9,3343
similarity,bf_0u,2.94E-04,3.93E-04,5.28E-05,0.001245387,50000000,2.00E-08,2.40E-08,9,3343
repulsion,bf_00',2.95E-04,8.00E-05,1.89E-04,4.50E-04,500000,2.80E-05,7.65E-06,14,223
non-monotonic_attraction,bf_00',3.02E-04,1.30E-04,1.53E-04,5.74E-04,500000,1.20E-05,5.13E-06,2,2961
non-monotonic_attraction,bf_00',3.03E-04,1.25E-04,1.50E-04,5.60E-04,500000,1.20E-05,5.17E-06,14,3202
similarity,bf_00',3.05E-04,3.78E-04,5.65E-05,0.001230758,40000000,2.50E-08,3.22E-08,5,762
similarity,bf_0u,3.05E-04,3.78E-04,5.65E-05,0.001230837,40000000,2.50E-08,3.22E-08,5,762
similarity,bf_00',3.12E-04,3.97E-04,5.48E-05,0.001245687,50000000,2.00E-08,2.46E-08,9,2013
similarity,bf_0u,3.13E-04,3.97E-04,5.48E-05,0.001245748,50000000,2.00E-08,2.46E-08,9,2013
non-monotonic_attraction,bf_0u,3.14E-04,1.35E-04,1.59E-04,5.97E-04,500000,1.20E-05,5.13E-06,2,2961
attraction,bf_00',3.14E-04,8.17E-05,2.04E-04,4.73E-04,500000,3.00E-05,7.77E-06,2,2926
non-monotonic_attraction,bf_0u,3.15E-04,1.30E-04,1.56E-04,5.82E-04,500000,1.20E-05,5.17E-06,14,3202
similarity,bf_00',3.23E-04,4.14E-04,5.79E-05,0.001292076,50000000,2.00E-08,2.50E-08,14,923
similarity,bf_0u,3.23E-04,4.14E-04,5.79E-05,0.001292142,50000000,2.00E-08,2.50E-08,14,923
repulsion,bf_0u,3.23E-04,8.76E-05,2.07E-04,4.93E-04,500000,2.80E-05,7.65E-06,14,223
similarity,bf_00',3.33E-04,4.30E-04,5.24E-05,0.001348711,30000000,3.33E-08,4.08E-08,9,3773
similarity,bf_00',3.33E-04,4.25E-04,6.28E-05,0.001338598,30000000,3.33E-08,4.13E-08,14,556
similarity,bf_00',3.33E-04,4.47E-04,5.03E-05,0.001419278,50000000,2.00E-08,2.44E-08,5,2693
similarity,bf_00',3.33E-04,4.19E-04,5.54E-05,0.001317261,50000000,2.00E-08,2.52E-08,9,2593
similarity,bf_00',3.33E-04,4.13E-04,5.98E-05,0.001344938,50000000,2.00E-08,2.38E-08,14,2183
similarity,bf_0u,3.33E-04,4.47E-04,5.03E-05,0.00141935,50000000,2.00E-08,2.44E-08,5,2693
similarity,bf_0u,3.33E-04,4.19E-04,5.54E-05,0.001317323,50000000,2.00E-08,2.52E-08,9,2593
similarity,bf_0u,3.33E-04,4.30E-04,5.24E-05,0.001348854,30000000,3.33E-08,4.08E-08,9,3773
similarity,bf_0u,3.33E-04,4.25E-04,6.28E-05,0.001338704,30000000,3.33E-08,4.13E-08,14,556
similarity,bf_0u,3.33E-04,4.13E-04,5.98E-05,0.001345018,50000000,2.00E-08,2.38E-08,14,2183
similarity,bf_00',3.38E-04,4.28E-04,5.95E-05,0.001340201,40000000,2.50E-08,3.09E-08,9,2223
similarity,bf_0u,3.38E-04,4.28E-04,5.95E-05,0.001340315,40000000,2.50E-08,3.09E-08,9,2223
attraction,bf_0u,3.44E-04,8.95E-05,2.24E-04,5.18E-04,500000,3.00E-05,7.77E-06,2,2926
similarity,bf_00',3.47E-04,4.53E-04,6.00E-05,0.001400431,40000000,2.50E-08,3.03E-08,9,1992
similarity,bf_00',3.47E-04,4.49E-04,5.75E-05,0.00136985,40000000,2.50E-08,3.02E-08,14,2041
similarity,bf_0u,3.47E-04,4.53E-04,6.00E-05,0.001400517,40000000,2.50E-08,3.03E-08,9,1992
similarity,bf_0u,3.47E-04,4.49E-04,5.75E-05,0.001369937,40000000,2.50E-08,3.02E-08,14,2041
non-monotonic_attraction,bf_00',3.54E-04,1.35E-04,1.87E-04,6.23E-04,500000,1.40E-05,5.36E-06,5,2092
non-monotonic_attraction,bf_00',3.55E-04,1.37E-04,1.82E-04,6.28E-04,500000,1.40E-05,5.44E-06,9,2582
similarity,bf_00',3.57E-04,4.52E-04,5.25E-05,0.001425669,40000000,2.50E-08,3.04E-08,2,182
similarity,bf_00',3.57E-04,4.43E-04,6.29E-05,0.001403319,40000000,2.50E-08,3.01E-08,14,2076
similarity,bf_0u,3.57E-04,4.52E-04,5.25E-05,0.00142578,40000000,2.50E-08,3.04E-08,2,182
similarity,bf_0u,3.57E-04,4.43E-04,6.29E-05,0.001403405,40000000,2.50E-08,3.01E-08,14,2076
non-monotonic_attraction,bf_00',3.59E-04,1.40E-04,1.93E-04,6.36E-04,500000,1.40E-05,5.45E-06,2,2423
non-monotonic_attraction,bf_00',3.59E-04,1.38E-04,1.88E-04,6.41E-04,500000,1.40E-05,5.42E-06,2,583
