sub_n,distance,model,obs,pred,ppp
3552,2,attraction,4.7856550596469285,4.999758761248252,0.5323464692938588
3561,2,attraction,6.228273269412775,4.977577476355156,0.3961992398479696
3572,2,attraction,6.39030171211989,4.999385338379518,0.36905381076215243
3583,2,attraction,4.306184059337235,5.007434984996439,0.5784356871374274
3591,2,attraction,3.976484254231673,5.023043098659356,0.6218243648729745
3602,2,attraction,8.320858672755582,5.014601949476665,0.2160632126425285
3613,2,attraction,6.681775160821207,5.023220586587933,0.34616923384676934
3626,2,attraction,4.852068388416418,4.979941007906442,0.49601920384076814
3631,2,attraction,5.309404030163141,4.976735727402991,0.48311662332466493
3646,2,attraction,5.330515171368681,4.99961223661502,0.4835967193438688
3653,2,attraction,4.324918591200072,5.008261952850366,0.5836967393478696
3661,2,attraction,4.886557394532079,4.999434150661,0.5243248649729946
3672,2,attraction,6.284904388523738,4.980920272630671,0.3710742148429686
3683,2,attraction,7.27907653762713,4.969656884406073,0.2517903580716143
3701,2,attraction,4.1527008723312235,4.967825126333667,0.6004200840168034
3712,2,attraction,4.467498711380546,5.003445274399169,0.5693338667733546
3721,2,attraction,5.835822703358141,4.9778801173949,0.4295459091818364
3732,2,attraction,6.197780538417375,4.986417057146638,0.39175835167033407
3743,2,attraction,4.369247309420628,4.97966785666676,0.5715543108621725
3756,2,attraction,4.784722402443285,4.99960828730534,0.5147629525905181
3766,2,attraction,12.792620104204337,4.976901549465048,0.05445089017803561
3773,2,attraction,4.274926422083732,5.009665987296607,0.5902780556111222
3781,2,attraction,4.424193384027767,5.0236815924722045,0.5744348869773955
3792,2,attraction,5.983982079848488,4.9751409837057246,0.4126625325065013
3803,2,attraction,6.529841912679885,4.994068774710126,0.35259051810362074
3811,2,attraction,9.360695079429476,4.989452206938387,0.15317063412682536
3822,2,attraction,4.497503281313003,5.004412545618968,0.5606521304260852
3843,2,attraction,4.360586277793326,4.996908049421427,0.5759151830366073
3846,2,attraction,6.49819176067464,4.976511105770642,0.3619323864772955
3851,2,attraction,5.312930353143165,4.996808382674728,0.48347669533906784
3862,2,attraction,5.415424264591174,5.021002796010399,0.46945389077815564
3873,2,attraction,4.883159597310958,5.017914090450764,0.5290658131626326
3886,2,attraction,5.810245802242388,5.003766232795484,0.43076615323064615
3891,2,attraction,4.1449357473034105,4.99674215607906,0.6016003200640128
3902,2,attraction,5.3915047582262385,5.02657514742743,0.47007401480296057
3913,2,attraction,7.438613679234614,4.991234843368559,0.2844568913782757
3921,2,attraction,4.424269495509003,5.01717839400551,0.5661132226445289
3932,2,attraction,5.599580652169901,5.003318192334933,0.4535507101420284
3943,2,attraction,6.255049075107694,4.97745604307006,0.37285457091418284
3956,2,attraction,4.439057717504261,4.9946339096961925,0.5684336867373475
3961,2,attraction,4.46767484007831,5.010073335860182,0.5646529305861172
3972,2,attraction,5.290122867394443,5.01769540120805,0.4847569513902781
3983,2,attraction,7.113796538625532,5.03191224579083,0.32026405281056214
3996,2,attraction,5.110211546540387,5.000152795002454,0.49617923584716944
22,5,attraction,4.071434831750225,5.016756125974797,0.6059411882376475
31,5,attraction,10.620839749727358,4.987415697267556,0.09845969193838768
42,5,attraction,4.135945155387352,5.00056106735475,0.5999399879975995
53,5,attraction,5.268280064730911,5.043795173849522,0.48925785157031404
66,5,attraction,4.651861310021396,5.021471942558622,0.5429285857171434
71,5,attraction,5.05138621170106,5.034396680253918,0.49775955191038207
82,5,attraction,5.870287082908688,5.0090042532006995,0.4125425085017003
93,5,attraction,4.235324237514117,5.011991977555364,0.5897379475895179
102,5,attraction,4.392168187577517,4.99394452186009,0.5687137427485497
111,5,attraction,4.937961013494382,4.965965013639358,0.49081816363272657
123,5,attraction,4.361141420711653,4.99158065447955,0.5737347469493899
136,5,attraction,4.9159070084085315,4.997042728817108,0.5170234046809362
141,5,attraction,6.584077128641739,4.991170194163163,0.35067013402680536
152,5,attraction,7.1068305584283,4.9824943595863465,0.3036007201440288
163,5,attraction,5.185502854585023,4.987685477487951,0.4776155231046209
171,5,attraction,7.389961626999269,5.0045674644168106,0.28705741148229647
182,5,attraction,9.085083451814683,5.00312077808328,0.15293058611722343
191,5,attraction,4.542483907673412,5.0068842896765515,0.5720344068813763
201,5,attraction,4.702484352889374,5.020854690947233,0.5399679935987197
212,5,attraction,5.412892708343177,5.015676799671941,0.466873374674935
223,5,attraction,5.376732543442706,4.983429136492051,0.46957391478295657
233,5,attraction,9.209496689180321,4.989980140349834,0.15141028205641127
